p00,p10,p01,p11,Total Number of Counts
0.1253519742,0.8746480258,0.0289350887,0.9710649113,
0.125268716,0.874731284,0.0288063055,0.9711936945,
0.1253010499,0.8746989501,0.0282201936,0.9717798064,
0.1253953986,0.8746046014,0.0280577116,0.9719422884,
0.1252878139,0.8747121861,0.028151501,0.971848499,
0.1253990837,0.8746009163,0.0285537681,0.9714462319,
0.1252912525,0.8747087475,0.0287218815,0.9712781185,
0.1255100039,0.8744899961,0.0285239647,0.9714760353,
0.1254704367,0.8745295633,0.028956672,0.971043328,
0.1253040275,0.8746959725,0.0288126501,0.9711873499,
0.125322174,0.874677826,0.0277051067,0.9722948933,
0.1253928882,0.8746071118,0.0290306614,0.9709693386,
0.1253303704,0.8746696296,0.0284581232,0.9715418768,
0.1253436232,0.8746563768,0.0285219183,0.9714780817,
0.1253523745,0.8746476255,0.0280181401,0.9719818599,
0.125450505,0.874549495,0.0279930734,0.9720069266,
0.1254645151,0.8745354849,0.028845042,0.971154958,
0.1251717854,0.8748282146,0.0285851549,0.9714148451,
0.1252785978,0.8747214022,0.0285751559,0.9714248441,
0.1253875802,0.8746124198,0.0285228954,0.9714771046,
0.1253860108,0.8746139892,0.0278665487,0.9721334513,
0.1253306441,0.8746693559,0.0287323679,0.9712676321,
0.1253057262,0.8746942738,0.0284866748,0.9715133252,
0.1253881426,0.8746118574,0.0287409615,0.9712590385,
0.1252572781,0.8747427219,0.0286292989,0.9713707011,
0.1253919492,0.8746080508,0.02826121,0.97173879,
0.1253499501,0.8746500499,0.0283181958,0.9716818042,
0.1253928307,0.8746071693,0.0285370825,0.9714629175,
0.1253198231,0.8746801769,0.0287099782,0.9712900218,
0.1253238463,0.8746761537,0.0280078585,0.9719921415,
0.1253662975,0.8746337025,0.0284609339,0.9715390661,
0.1254129858,0.8745870142,0.0282803305,0.9717196695,
0.1253257375,0.8746742625,0.0292193041,0.9707806959,
0.1253002228,0.8746997772,0.0280990959,0.9719009041,
0.1253947202,0.8746052798,0.0277870251,0.9722129749,
0.1254284484,0.8745715516,0.0285893057,0.9714106943,
0.1254510741,0.8745489259,0.0286073021,0.9713926979,
0.1253953268,0.8746046732,0.0282941041,0.9717058959,
0.1253427163,0.8746572837,0.0288828366,0.9711171634,
0.125389261,0.874610739,0.0287580405,0.9712419595,
0.1253763062,0.8746236938,0.0287347904,0.9712652096,
0.1254178721,0.8745821279,0.0286369621,0.9713630379,
0.1254131049,0.8745868951,0.0281522271,0.9718477729,
0.1254389017,0.8745610983,0.0293075231,0.9706924769,
0.1254643994,0.8745356006,0.0288659794,0.9711340206,
0.1253018515,0.8746981485,0.0280493879,0.9719506121,
0.1253533375,0.8746466625,0.028335554,0.971664446,
0.1255809177,0.8744190823,0.0289841375,0.9710158625,
0.125396457,0.874603543,0.0282659199,0.9717340801,
0.1253456612,0.8746543388,0.0287581563,0.9712418437,
0.1254086706,0.8745913294,0.0286065186,0.9713934814,
0.1253129203,0.8746870797,0.0287371872,0.9712628128,
0.1254108731,0.8745891269,0.0287469621,0.9712530379,
0.1254100323,0.8745899677,0.0286902484,0.9713097516,
0.1254470902,0.8745529098,0.0286465383,0.9713534617,
0.1252259952,0.8747740048,0.028654325,0.971345675,
0.1254247989,0.8745752011,0.0294559286,0.9705440714,
0.1253493826,0.8746506174,0.0284248525,0.9715751475,
0.1254259885,0.8745740115,0.0278221018,0.9721778982,
0.125566653,0.874433347,0.0285327157,0.9714672843,
0.1253380843,0.8746619157,0.0282431188,0.9717568812,
