p00,p10,p01,p11
0.1253929187,0.8746070813,0.029974657,0.970025343
0.1254393036,0.8745606964,0.0293928595,0.9706071405
0.1254212508,0.8745787492,0.0291506416,0.9708493584
0.125217593,0.874782407,0.0293138045,0.9706861955
0.125263644,0.874736356,0.0281284994,0.9718715006
0.125394728,0.874605272,0.0286936953,0.9713063047
0.1254006725,0.8745993275,0.0289724579,0.9710275421
0.1253261938,0.8746738062,0.0286607796,0.9713392204
0.1253012554,0.8746987446,0.0290657867,0.9709342133
0.125401428,0.874598572,0.0293628837,0.9706371163
0.1252743704,0.8747256296,0.0289771469,0.9710228531
0.1253909957,0.8746090043,0.0288871806,0.9711128194
0.1253381725,0.8746618275,0.0287621771,0.9712378229
0.1254049166,0.8745950834,0.0289439025,0.9710560975
0.1252991242,0.8747008758,0.0291630618,0.9708369382
0.1253270797,0.8746729203,0.0291658525,0.9708341475
0.1254055413,0.8745944587,0.0292006483,0.9707993517
0.1254033595,0.8745966405,0.0287076445,0.9712923555
0.1253222402,0.8746777598,0.0286208685,0.9713791315
0.1252966468,0.8747033532,0.0297927795,0.9702072205
0.1253952768,0.8746047232,0.0290777269,0.9709222731
0.1254456126,0.8745543874,0.0287954339,0.9712045661
0.1254394588,0.8745605412,0.0287072713,0.9712927287
0.1254014274,0.8745985726,0.0285643702,0.9714356298
0.1253466848,0.8746533152,0.0302007917,0.9697992083
0.1254145887,0.8745854113,0.0289497618,0.9710502382
0.1253572625,0.8746427375,0.0291504504,0.9708495496
0.1254295484,0.8745704516,0.0289091191,0.9710908809
0.1253978719,0.8746021281,0.0287304584,0.9712695416
0.1254608384,0.8745391616,0.0295821192,0.9704178808
0.1254637448,0.8745362552,0.0291169205,0.9708830795
0.1253070114,0.8746929886,0.0290538633,0.9709461367
0.1253822421,0.8746177579,0.0286184295,0.9713815705
0.1255622964,0.8744377036,0.0290710563,0.9709289437
0.1254116254,0.8745883746,0.0297543983,0.9702456017
0.125362085,0.874637915,0.0286773514,0.9713226486
0.1253898803,0.8746101197,0.0293947181,0.9706052819
0.1253048257,0.8746951743,0.0288227684,0.9711772316
0.1254021098,0.8745978902,0.0291572981,0.9708427019
0.1254576857,0.8745423143,0.028343749,0.971656251
0.1254136413,0.8745863587,0.0292421008,0.9707578992
0.1252322363,0.8747677637,0.0294918703,0.9705081297
0.1254655434,0.8745344566,0.028393916,0.971606084
0.1253490808,0.8746509192,0.0291490193,0.9708509807
0.1254344105,0.8745655895,0.0283309192,0.9716690808
0.1255536841,0.8744463159,0.0291251168,0.9708748832
0.1253738416,0.8746261584,0.0287224525,0.9712775475
0.1253416081,0.8746583919,0.028716503,0.971283497
0.1253589836,0.8746410164,0.0294528276,0.9705471724
0.1253045899,0.8746954101,0.0292390128,0.9707609872
0.1254294148,0.8745705852,0.0288208932,0.9711791068
0.1252986153,0.8747013847,0.029328049,0.970671951
0.1254532972,0.8745467028,0.0289542363,0.9710457637
0.1253928804,0.8746071196,0.0295414236,0.9704585764
0.1254029145,0.8745970855,0.0290446632,0.9709553368
0.125282329,0.874717671,0.0291828294,0.9708171706
0.1253891024,0.8746108976,0.029445418,0.970554582
0.1253013786,0.8746986214,0.0293372807,0.9706627193
0.1253019478,0.8746980522,0.0291278133,0.9708721867
0.125504699,0.874495301,0.0291623355,0.9708376645
0.125283229,0.874716771,0.0293036706,0.9706963294
0.1253186097,0.8746813903,0.0285369176,0.9714630824
0.1252682472,0.8747317528,0.0288831072,0.9711168928
0.1253174755,0.8746825245,0.0296595143,0.9703404857
0.1254044276,0.8745955724,0.0285360121,0.9714639879
0.1253802326,0.8746197674,0.0293183623,0.9706816377
0.1253982799,0.8746017201,0.0289970341,0.9710029659
0.1254915534,0.8745084466,0.0285753819,0.9714246181
0.1254622493,0.8745377507,0.0292531418,0.9707468582
0.1254002404,0.8745997596,0.0284086238,0.9715913762
0.1254609619,0.8745390381,0.0285277085,0.9714722915
0.1253241571,0.8746758429,0.0284837816,0.9715162184
0.1252767471,0.8747232529,0.0291927668,0.9708072332
0.125298661,0.874701339,0.0287606879,0.9712393121
0.1253355782,0.8746644218,0.028357325,0.971642675
0.1253706008,0.8746293992,0.0287473699,0.9712526301
0.1253055912,0.8746944088,0.0295843659,0.9704156341
0.1253822429,0.8746177571,0.0292659367,0.9707340633
0.1253524909,0.8746475091,0.0292868378,0.9707131622
0.1254805126,0.8745194874,0.0290404691,0.9709595309
0.1254618688,0.8745381312,0.0295486513,0.9704513487
0.1253206279,0.8746793721,0.0285930549,0.9714069451
0.1252935697,0.8747064303,0.0291870997,0.9708129003
0.12538828,0.87461172,0.0292925571,0.9707074429
0.125343232,0.874656768,0.029076066,0.970923934
0.1253645728,0.8746354272,0.0283487689,0.9716512311
0.125359,0.874641,0.0289726253,0.9710273747
0.1254650853,0.8745349147,0.029072512,0.970927488
0.1254192523,0.8745807477,0.0284139582,0.9715860418
0.1252443959,0.8747556041,0.0290524043,0.9709475957
0.1252504551,0.8747495449,0.0293949079,0.9706050921
0.1254073519,0.8745926481,0.0291044123,0.9708955877
0.1253261991,0.8746738009,0.0293115236,0.9706884764
0.1253801814,0.8746198186,0.0292590384,0.9707409616
0.1253365933,0.8746634067,0.0285794988,0.9714205012
